GameNumber,RoundNumber,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadwoodPlayer0,DeadwoodPlayer1,CardsInDeadwoodPlayer0,CardsInDeadwoodPlayer1,FinalRound
67,11,0,104,58,9,35,3,7,true
68,0,Null,0,0,57,75,10,11,false
68,0,1,0,10,18,8,7,3,false
68,1,0,19,10,10,29,3,4,false
68,2,0,30,10,1,12,1,3,false
68,3,1,30,22,16,4,4,1,false
68,4,1,30,25,11,8,3,4,false
68,5,1,30,41,20,4,6,3,false
68,6,0,50,41,5,25,3,7,false
68,7,0,85,41,3,38,1,7,false
68,8,0,118,41,9,42,4,7,true
69,0,Null,0,0,61,75,10,11,false
69,0,1,0,31,33,2,7,1,false
69,1,0,29,31,3,32,1,7,false
69,2,0,72,31,4,47,2,10,false
69,3,0,117,31,0,20,0,4,true
70,0,Null,0,0,62,75,10,11,false
70,0,1,0,29,38,9,7,3,false
70,1,1,0,32,11,8,3,3,false
70,2,0,16,32,2,18,1,4,false
70,3,1,16,37,13,8,4,4,false
70,4,1,16,45,17,9,4,3,false
70,5,0,27,45,9,20,4,4,false
70,6,0,31,45,8,12,3,3,false
70,7,1,31,57,14,2,6,1,false
70,8,0,56,57,3,28,2,7,false
70,9,0,64,57,7,15,2,3,false
70,10,1,64,61,13,9,4,4,false
70,11,0,86,61,4,26,1,6,false
70,12,0,114,61,1,29,1,7,true
71,0,Null,0,0,60,81,10,11,false
71,0,1,0,17,25,8,7,3,false
71,1,0,7,17,10,17,4,3,false
71,2,0,65,17,9,67,4,10,false
71,3,1,65,28,17,6,4,4,false
71,4,1,65,49,30,9,7,3,false
71,5,0,73,49,10,18,3,4,false
71,6,0,106,49,1,34,1,7,true
72,0,Null,0,0,60,87,10,11,false
72,0,1,0,16,19,3,6,1,false
72,1,0,47,16,8,55,4,10,false
72,2,1,47,52,11,0,3,0,false
72,3,0,60,52,2,15,1,4,false
72,4,0,63,52,8,11,4,4,false
72,5,1,63,59,12,5,4,1,false
72,6,0,69,59,7,13,3,4,false
